Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:50.346470;IP;localhost;domain ; localhost;34555;;;;;;46923;7/0/1;CNAME;vap.lijit.com.,;A;1;;;;;A;216.52.2.19,;A;216.52.2.30,;A;72.251.249.13;-155;;;;;;;;
19:19:50.363864;IP;localhost;domain ; localhost;43003;;;;;;20321;2/0/1;CNAME;pugm22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.375481;IP;localhost;domain ; localhost;34555;;;;;;20309;1/0/1;CNAME;vap.lijit.com.;-59;1;;;;;;;;;;;;;;;;;;;
19:19:50.388929;IP;localhost;44344; localhost;domain;;;;;;2559;[1au];A?;tpc.googlesyndication.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:50.389118;IP;localhost;domain ; localhost;44344;;;;;;2559;1/0/1;A;216.58.213.129;-70;1;;;;;;;;;;;;;;;;;;;
19:19:50.389150;IP;localhost;44344; localhost;domain;;;;;;46345;[1au];AAAA?;tpc.googlesyndication.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:50.389240;IP;localhost;domain ; localhost;44344;;;;;;46345;1/0/1;AAAA;2a00:1450:4007:811::2001;-82;1;;;;;;;;;;;;;;;;;;;
19:19:50.408981;IP;localhost;42883; localhost;domain;;;;;;52710;[1au];A?;ocsp.globalsign.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.409370;IP;localhost;42883; localhost;domain;;;;;;497;[1au];AAAA?;ocsp.globalsign.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.426912;IP;localhost;55099; localhost;domain;;;;;;58751;[1au];A?;pagead2.googlesyndication.com.;-58;1;;;;;;;;;;;;;;;;;;;
19:19:50.427164;IP;localhost;domain ; localhost;55099;;;;;;58751;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:50.427198;IP;localhost;55099; localhost;domain;;;;;;8587;[1au];AAAA?;pagead2.googlesyndication.com.;-58;1;;;;;;;;;;;;;;;;;;;
19:19:50.427430;IP;localhost;domain ; localhost;55099;;;;;;8587;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:50.430863;IP;localhost;domain ; localhost;42883;;;;;;52710;3/0/1;CNAME;global.prd.cdn.globalsign.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
