Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:54:54.955581;IP;localhost;36638; localhost;domain;;;;;;13714;[1au];A?;go.trouter.skype.com.;-49;1
19:54:54.955849;IP;localhost;domain ; localhost;36638;;;;;;13714;2/0/1;CNAME;root.skype-edf.akadns.net.,;A;1
19:54:54.955882;IP;localhost;36638; localhost;domain;;;;;;7581;[1au];AAAA?;go.trouter.skype.com.;-49;1
19:54:54.956028;IP;localhost;domain ; localhost;36638;;;;;;7581;1/0/1;CNAME;root.skype-edf.akadns.net.;-88;1
19:54:55.129517;IP;localhost;59939; localhost;domain;;;;;;35150;[1au];A?;outlook.live.com.;-45;1
19:54:55.130513;IP;localhost;domain ; localhost;59939;;;;;;35150;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.130571;IP;localhost;59939; localhost;domain;;;;;;20827;[1au];AAAA?;outlook.live.com.;-45;1
19:54:55.131187;IP;localhost;domain ; localhost;59939;;;;;;20827;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.140679;IP;localhost;54552; localhost;domain;;;;;;34166;[1au];A?;outlook.live.com.;-45;1
19:54:55.141138;IP;localhost;domain ; localhost;54552;;;;;;34166;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.141459;IP;localhost;54552; localhost;domain;;;;;;20864;[1au];AAAA?;outlook.live.com.;-45;1
19:54:55.141751;IP;localhost;domain ; localhost;54552;;;;;;20864;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.503984;IP;localhost;44929; localhost;domain;;;;;;57920;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.504468;IP;localhost;44929; localhost;domain;;;;;;21072;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.525743;IP;localhost;domain ; localhost;44929;;;;;;57920;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.527520;IP;localhost;domain ; localhost;44929;;;;;;21072;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.532836;IP;localhost;54358; localhost;domain;;;;;;61540;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.533186;IP;localhost;domain ; localhost;54358;;;;;;61540;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.533224;IP;localhost;54358; localhost;domain;;;;;;46190;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.533429;IP;localhost;domain ; localhost;54358;;;;;;46190;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.539551;IP;localhost;42359; localhost;domain;;;;;;8376;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.539918;IP;localhost;domain ; localhost;42359;;;;;;8376;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.539955;IP;localhost;42359; localhost;domain;;;;;;11458;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.540269;IP;localhost;domain ; localhost;42359;;;;;;11458;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.549231;IP;localhost;48324; localhost;domain;;;;;;11438;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.549601;IP;localhost;domain ; localhost;48324;;;;;;11438;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
