Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:16:32.150385;IP;localhost;54723; localhost;domain;;;;;;27352;[1au];A?;adservice.google.com.tr.;-52;0
19:16:32.150757;IP;localhost;54723; localhost;domain;;;;;;48866;[1au];AAAA?;adservice.google.com.tr.;-52;0
19:16:32.157747;IP;localhost;47374; localhost;domain;;;;;;47738;[1au];A?;adservice.google.com.tr.;-52;0
19:16:32.169345;IP;localhost;domain ; localhost;41431;;;;;;45618;1/0/1;AAAA;2a00;;0
19:16:32.172827;IP;localhost;domain ; localhost;54723;;;;;;48866;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;0
19:16:32.173059;IP;localhost;domain ; localhost;47374;;;;;;47738;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;0
19:16:32.173195;IP;localhost;domain ; localhost;54723;;;;;;27352;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;0
19:16:32.175519;IP;localhost;49974; localhost;domain;;;;;;32908;[1au];A?;api.tubia.com.;-42;0
19:16:32.175996;IP;localhost;49974; localhost;domain;;;;;;49304;[1au];AAAA?;api.tubia.com.;-42;0
19:16:32.177586;IP;localhost;47071; localhost;domain;;;;;;57372;[1au];A?;api.tubia.com.;-42;0
19:16:32.181191;IP;localhost ;; localhost;;ICMP;;50472;23808;8;;;;;;0
19:16:32.181207;IP;localhost ;; localhost;;ICMP;;50472;23808;8;;;;;;0
19:16:32.199197;IP;localhost;domain ; localhost;49974;;;;;;49304;2/0/1;AAAA;2606;;0
19:16:32.199295;IP;localhost;domain ; localhost;49974;;;;;;32908;2/0/1;A;104.26.3.53,;A;0
19:16:32.199319;IP;localhost;domain ; localhost;47071;;;;;;57372;2/0/1;A;104.26.3.53,;A;0
19:16:32.203711;IP;localhost;60887; localhost;domain;;;;;;12374;[1au];A?;tags.crwdcntrl.net.;-47;0
19:16:32.204101;IP;localhost;60887; localhost;domain;;;;;;22624;[1au];AAAA?;tags.crwdcntrl.net.;-47;0
19:16:32.204210;IP;localhost;domain ; localhost;60887;;;;;;22624;0/0/1;-47;;;0
19:16:32.230594;IP;localhost;domain ; localhost;60887;;;;;;12374;4/0/1;A;13.225.31.91,;A;0
19:16:32.282119;IP;localhost ;; localhost;;ICMP;;50472;24064;8;;;;;;0
19:16:32.282141;IP;localhost ;; localhost;;ICMP;;50472;24064;8;;;;;;0
19:16:32.348678;IP;localhost;42625; localhost;domain;;;;;;2157;[1au];A?;vendorlist.consensu.org.;-52;0
19:16:32.349105;IP;localhost;42625; localhost;domain;;;;;;19576;[1au];AAAA?;vendorlist.consensu.org.;-52;0
19:16:32.372056;IP;localhost;domain ; localhost;42625;;;;;;2157;5/0/1;CNAME;dzp5etodm9s0j.cloudfront.net.,;A;0
19:16:32.374471;IP;localhost;domain ; localhost;42625;;;;;;19576;9/0/1;CNAME;dzp5etodm9s0j.cloudfront.net.,;AAAA;0
19:16:32.382330;IP;localhost ;; localhost;;ICMP;echo request;50472;24320;8;;;;;;0
19:16:32.382345;IP;localhost ;; localhost;;ICMP;echo reply;50472;24576;8;;;;;;0
19:16:32.482537;IP;localhost ;; localhost;;ICMP;echo request;50472;24576;8;;;;;;0
19:16:32.482558;IP;localhost ;; localhost;;ICMP;echo reply;50472;24832;8;;;;;;0
19:16:32.582769;IP;localhost ;; localhost;;ICMP;echo request;50472;24832;8;;;;;;0
19:16:32.582784;IP;localhost ;; localhost;;ICMP;echo reply;50472;25088;8;;;;;;0
19:16:32.682952;IP;localhost ;; localhost;;ICMP;echo request;50472;25088;8;;;;;;0
19:16:32.682973;IP;localhost ;; localhost;;ICMP;echo reply;50472;25344;8;;;;;;0
19:16:32.783152;IP;localhost ;; localhost;;ICMP;echo request;50472;25344;8;;;;;;0
19:16:32.783166;IP;localhost ;; localhost;;ICMP;echo reply;50472;25600;8;;;;;;0
19:16:32.883344;IP;localhost ;; localhost;;ICMP;echo request;50472;25600;8;;;;;;0
19:16:32.883359;IP;localhost ;; localhost;;ICMP;echo reply;50472;25600;8;;;;;;0
19:16:32.955648;IP;localhost;34910; localhost;domain;;;;;;33234;[1au];A?;api.rlcdn.com.;-42;0
19:16:32.956021;IP;localhost;34910; localhost;domain;;;;;;18908;[1au];AAAA?;api.rlcdn.com.;-42;0
19:16:32.956129;IP;localhost;domain ; localhost;34910;;;;;;18908;0/0/1;-42;;;0
19:16:32.957144;IP;localhost;57165; localhost;domain;;;;;;43346;[1au];A?;api.rlcdn.com.;-42;0
19:16:32.977348;IP;localhost;domain ; localhost;57165;;;;;;43346;1/0/1;A;35.244.174.68;-58;0
19:16:32.977387;IP;localhost;domain ; localhost;34910;;;;;;33234;1/0/1;A;35.244.174.68;-58;0
19:16:32.983602;IP;localhost ;; localhost;;ICMP;echo request;50472;25856;8;;;;;;0
19:16:32.983616;IP;localhost ;; localhost;;ICMP;echo reply;50472;26112;8;;;;;;0
19:16:33.083757;IP;localhost ;; localhost;;ICMP;echo request;50472;26112;8;;;;;;0
19:16:33.083773;IP;localhost ;; localhost;;ICMP;echo reply;50472;26368;8;;;;;;0
19:16:33.184449;IP;localhost ;; localhost;;ICMP;echo request;50472;26368;8;;;;;;0
