Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
19:48:44.682339;IP;localhost;domain ; localhost;54420;;;;;;10666;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:44.682391;IP;localhost;54420; localhost;domain;;;;;;61881;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:44.682522;IP;localhost;domain ; localhost;54420;;;;;;61881;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:48.222452;IP;localhost;58163; localhost;domain;;;;;;9014;[1au];A?;outlook.live.com.;-45;1;;;;;;;;;;;;;;
19:48:48.223055;IP;localhost;58163; localhost;domain;;;;;;25408;[1au];AAAA?;outlook.live.com.;-45;1;;;;;;;;;;;;;;
19:48:48.244959;IP;localhost;domain ; localhost;58163;;;;;;9014;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1;;;;;;;;;;;;;;
19:48:48.247386;IP;localhost;domain ; localhost;58163;;;;;;25408;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.395844;IP;localhost;34991; localhost;domain;;;;;;49696;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:49.396256;IP;localhost;domain ; localhost;34991;;;;;;49696;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.396310;IP;localhost;34991; localhost;domain;;;;;;45610;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:49.396506;IP;localhost;domain ; localhost;34991;;;;;;45610;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.651765;IP;localhost;46433; localhost;domain;;;;;;19577;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:49.652164;IP;localhost;domain ; localhost;46433;;;;;;19577;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.652213;IP;localhost;46433; localhost;domain;;;;;;40067;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:49.652482;IP;localhost;domain ; localhost;46433;;;;;;40067;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.702147;IP;localhost;41067; localhost;domain;;;;;;4314;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:49.702504;IP;localhost;domain ; localhost;41067;;;;;;4314;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
