Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;
20:01:24.150562;IP;localhost;domain ; localhost;53870;;;;;;12925;2/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.169219;IP;localhost;40613; localhost;domain;;;;;;55916;[1au];A?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:24.169511;IP;localhost;domain ; localhost;40613;;;;;;55916;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.169689;IP;localhost;40613; localhost;domain;;;;;;5751;[1au];AAAA?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:24.169888;IP;localhost;domain ; localhost;40613;;;;;;5751;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1;;;;;;;;;;;;;;;;;
20:01:24.196813;IP;localhost;48092; localhost;domain;;;;;;65175;[1au];A?;cdn.tynt.com.;-41;1;;;;;;;;;;;;;;;;;
20:01:24.197136;IP;localhost;domain ; localhost;48092;;;;;;65175;3/0/1;CNAME;cdn.tynt.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.197173;IP;localhost;48092; localhost;domain;;;;;;2723;[1au];AAAA?;cdn.tynt.com.;-41;1;;;;;;;;;;;;;;;;;
20:01:24.197323;IP;localhost;domain ; localhost;48092;;;;;;2723;1/0/1;CNAME;cdn.tynt.com.cdn.cloudflare.net.;-86;1;;;;;;;;;;;;;;;;;
20:01:24.211609;IP;localhost;40179; localhost;domain;;;;;;1690;[1au];A?;aktrack.pubmatic.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.211996;IP;localhost;40179; localhost;domain;;;;;;36517;[1au];AAAA?;aktrack.pubmatic.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.233596;IP;localhost;domain ; localhost;40179;;;;;;36517;2/0/1;CNAME;aktrack.pubmatic.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.235338;IP;localhost;domain ; localhost;40179;;;;;;1690;3/0/1;CNAME;aktrack.pubmatic.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.261852;IP;localhost;59991; localhost;domain;;;;;;65235;[1au];A?;sc.tynt.com.;-40;1;;;;;;;;;;;;;;;;;
