Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
15:42:12.271031;IP;localhost;34222;localhost;domain;;;;;;43203;[1au];A?;cdn.taboola.com.;-44;1
15:42:12.271570;IP;localhost;34222;localhost;domain;;;;;;20686;[1au];AAAA?;cdn.taboola.com.;-44;1
15:42:12.275784;IP;localhost;44316;localhost;domain;;;;;;1103;[1au];A?;ib.adnxs.com.;-41;1
15:42:12.276328;IP;localhost;44316;localhost;domain;;;;;;6232;[1au];AAAA?;ib.adnxs.com.;-41;1
15:42:12.291885;IP;localhost;domain;localhost;34222;;;;;;43203;2/0/1;CNAME;f2.taboola.map.fastly.net.,;A;1
15:42:12.294125;IP;localhost;domain;localhost;34222;;;;;;20686;1/0/1;CNAME;f2.taboola.map.fastly.net.;-83;1
15:42:12.299552;IP;localhost;domain;localhost;44316;;;;;;6232;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
15:42:12.300299;IP;localhost;domain;localhost;44316;;;;;;1103;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
15:42:12.327209;IP;localhost;43300;localhost;domain;;;;;;18737;[1au];A?;cdn.adnxs.com.;-42;1
15:42:12.327661;IP;localhost;43300;localhost;domain;;;;;;54593;[1au];AAAA?;cdn.adnxs.com.;-42;1
15:42:12.348379;IP;localhost;domain;localhost;43300;;;;;;18737;3/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
15:42:12.350752;IP;localhost;domain;localhost;43300;;;;;;54593;2/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
15:42:13.209724;IP;localhost;52978;localhost;domain;;;;;;44570;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
15:42:13.211860;IP;localhost;52978;localhost;domain;;;;;;56367;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
15:42:13.232596;IP;localhost;domain;localhost;52978;;;;;;44570;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
