Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;44061;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;8470;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;8470;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;44317;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;44317;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;8726;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;8726;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;44573;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;44573;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;8982;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;8982;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;44829;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;44829;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;9238;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;9238;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;45085;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;45085;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;9494;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;9494;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;45341;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;45341;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;9750;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;9750;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;10006;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;10006;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;45597;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;45597;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;10262;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;10262;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;45853;8;;;;;;0;;;;;;;;;;;;;;
